timestep,reward
10,1.5975
8372,1.0925
15727,0.967
23606,1.3345
31433,1.042
39944,1.2375
48638,1.43
58270,1.0555
68083,0.9485
77822,0.676
87478,1.0795
97456,0.7025
107659,1.4275
118060,1.149
128160,1.202
138774,1.1875
149244,1.554
159525,1.399
170137,1.4175
180474,1.8345
192343,2.26
204261,1.818
215953,2.202
227005,2.402
238693,1.926
251213,2.856
263912,2.997
276538,2.616
289926,2.543
302341,2.0345
314633,2.6845
326725,2.863
338961,3.4955
351414,2.9245
363784,2.5355
376510,2.761
389256,2.6755
401374,2.8815
414223,2.258
426159,2.9835
438999,2.8025
451745,3.137
463721,2.416
475478,3.4655
488703,3.0625
501695,2.981
515271,2.911
528266,2.6595
541041,2.298
553178,2.837
565371,2.6678
