timestep,reward
6,1.998
5463,1.8255
10729,1.777
15981,1.94
21176,1.734
26430,1.6305
31498,1.6255
36690,1.837
41972,1.694
47253,1.5965
52430,1.75
57609,1.5795
62616,1.6375
67807,1.697
73053,1.543
78168,1.9215
83451,1.9385
88749,2.1345
94123,2.068
99410,1.969
104681,1.8735
109876,2.145
115213,2.134
120501,1.8145
125823,1.7165
130945,1.91
136317,1.7625
141518,1.883
146879,2.01
152052,1.984
157418,2.04
162723,2.044
168018,1.951
173341,1.7755
178670,1.762
183973,2.0425
189263,1.669
194605,2.0865
199875,1.971
205224,1.9735
210491,1.8745
215591,1.904
220890,1.707
226021,1.828
231437,1.881
236759,1.76
242207,1.8055
247526,2.125
252782,2.139
258349,1.9465
263538,2.0248
