timestep,reward
2,0.769
3192,0.4695
6321,0.641
9462,0.749
12448,0.564
15695,0.5335
18685,0.554
21949,0.5765
25248,0.5665
28213,0.3065
31464,0.6275
34544,0.3325
37734,0.4665
40761,0.507
43807,0.401
47012,0.484
50031,0.5675
53062,0.449
56250,0.5805
59562,0.2995
62558,0.649
65473,0.369
68652,0.643
71821,0.46
75063,0.515
78135,0.559
81129,0.445
84141,0.505
87148,0.4765
90160,0.514
93265,0.5095
96265,0.62
99405,0.618
102529,0.497
105506,0.6205
108370,0.4205
111453,0.556
114289,0.4415
117268,0.319
120253,0.5465
123106,0.4495
125935,0.6865
128796,0.35
131661,0.546
134632,0.535
137654,0.4885
140466,0.483
143317,0.5715
146200,0.538
149045,0.467
151823,0.5613
