timestep,reward
10,0.449
10659,0.178
21196,-0.017
32035,0.289
42830,-0.151
53488,0.177
63767,0.014
73779,-0.678
83747,-0.072
93495,-0.529
103207,0.331
113346,-0.229
123879,0.761
134242,0.075
144616,0.085
154946,0.196
165179,0.622
175340,0.508
185610,0.508
195710,0.118
205960,0.407
216076,0.272
226185,0.421
236241,0.602
246371,0.163
256494,0.579
266459,0.381
276500,0.156
286693,0.206
296800,-0.124
307025,0.271
316908,0.521
327001,0.793
336913,0.28
346914,0.177
356995,0.043
367124,0.186
377222,0.338
387422,0.086
397362,0.303
407492,0.159
417756,0.731
427787,0.179
437879,0.316
448189,0.145
458275,0.196
468368,0.128
478394,-0.07
488546,-0.011
498160,0.407
508378,0.198
