timestep,reward
3,-0.967
4192,-2.266
10668,-1.151
18900,-0.843
28214,-1.4765
37608,-0.5145
49250,-0.462
61493,-1.9405
74669,-0.189
89295,-1.699
105355,0.1985
121066,-0.8715
137438,0.859
154552,0.133
171325,-0.4535
187526,0.1225
203732,0.335
220258,0.7085
236851,0.635
253012,-0.319
269829,0.456
286655,0.035
302608,0.1075
318627,0.7605
334999,-0.3975
350742,0.353
366492,0.177
383016,-0.3225
398902,-0.44
414966,-1.355
431143,-0.2285
447611,0.7045
463864,1.0085
480483,-0.11
497127,-0.236
513691,-0.52
529752,0.013
546402,0.237
563098,-0.4095
579317,0.089
595529,-0.1145
612499,1.0875
629017,-0.4175
645825,0.3385
661700,-0.455
677457,-0.1925
692934,-0.5775
709069,-0.6775
725513,-0.3595
741107,0.3525
756465,-0.11245
