timestep,reward
5,-0.005
2874,0.1875
6300,0.4975
9995,0.709
13712,0.8465
17928,1.1505
22312,1.1925
26739,1.1725
31257,1.319
35879,1.415
40555,1.536
45434,1.7255
50692,1.6695
55615,1.7025
60831,1.774
65875,1.4895
70768,1.912
76071,1.943
81148,1.805
86286,1.788
91255,1.944
96305,2.0325
101531,1.8245
106425,1.824
111569,1.889
116540,2.147
121900,1.625
127043,1.6675
132288,1.667
137390,1.8925
142682,1.7295
147789,1.903
152988,1.923
158078,1.595
163304,1.8515
168684,2.0055
173953,1.9235
179247,2.022
184457,1.922
189777,1.774
195005,2.1205
200159,2.0075
205240,2.204
210421,1.9735
215598,1.9945
220719,2.051
225809,2.167
231021,2.0965
236183,2.174
241340,2.1895
246561,2.1085
