timestep,reward
2,0.115
1942,-0.0065
3850,0.283
6070,0.4035
8531,0.165
11113,0.3455
13581,0.0715
16298,0.25
19190,0.438
21861,0.186
24858,0.4825
27590,0.3255
30375,0.4355
32970,0.4895
35657,0.36
38510,0.448
41281,0.4715
44008,0.4515
46955,0.465
49972,0.269
52837,0.636
55539,0.388
58437,0.594
61366,0.4105
64400,0.4925
67394,0.5785
70192,0.412
73083,0.556
75944,0.4315
78842,0.4715
81775,0.523
84611,0.6035
87741,0.617
90851,0.4795
93754,0.5565
96691,0.368
99909,0.5915
102960,0.4045
106105,0.3355
109364,0.5875
112509,0.4385
115563,0.738
118719,0.3755
121929,0.6165
125126,0.552
128504,0.5105
131687,0.5225
134993,0.586
138255,0.5015
141443,0.3775
144577,0.55825
