timestep,reward
5,-0.9425
4447,-1.05
10452,-0.9305
17427,-0.356
25595,-0.5085
33792,-0.2055
42865,0.0805
52449,-0.762
62024,-0.049
71863,-0.633
81804,0.021
91879,-0.3705
102072,0.325
112383,-0.057
122699,-0.137
132972,-0.034
143289,0.254
153542,0.2395
163780,0.193
174270,-0.137
184657,0.075
194982,0.019
205461,0.16
215686,0.284
226057,-0.183
236356,0.318
246811,0.079
257386,-0.117
267951,-0.1415
278534,-0.363
288945,-0.072
299469,0.219
309996,0.437
320630,-0.004
331247,-0.1435
341780,-0.24
352334,0.018
362914,0.091
373501,-0.2535
384095,0.027
394683,-0.054
405409,0.5045
416178,-0.147
427021,0.1795
437818,-0.1085
448739,-0.1685
459678,-0.243
470780,-0.3715
481753,-0.1995
492455,0.1255
503091,-0.0377
