timestep,reward
2,-0.5385
3533,-0.4575
7514,-0.3005
12723,-0.1615
19386,-0.118
27837,0.6685
36589,0.5225
45424,0.4935
54893,0.603
64553,-0.442
75028,0.121
86490,-0.231
99324,0.7395
113717,0.2025
127613,-0.068
142044,-0.1645
157140,0.5845
172809,0.3385
188540,0.523
204761,-0.266
220518,0.277
235451,0.1135
250090,0.188
265024,0.564
280211,-0.465
295662,0.455
311533,0.075
326621,-0.091
342153,-0.267
357098,-0.512
372035,-0.289
386458,0.425
401474,0.893
415755,-0.09
430814,-0.371
446699,-0.463
462138,0.0
477737,0.347
493064,-0.255
507404,-0.226
522777,-0.155
538546,0.697
553608,-0.193
568484,0.072
583324,-0.268
598570,-0.32
614049,-0.408
629531,-0.459
644350,-0.416
660811,0.236
675798,-0.0302
