timestep,reward
3,-2.509
4905,-3.5565
13298,-1.5745
26128,-0.4875
41117,-0.499
56000,0.1245
75300,-0.035
95874,-2.345
116658,-0.239
137655,-2.069
158440,0.219
179284,-1.193
199910,1.004
219716,-0.286
233360,-0.299
248231,-0.317
267208,0.914
287227,0.804
307479,0.605
327408,-0.27
346845,0.515
367460,0.055
386609,0.202
403099,0.374
419118,-0.29
434443,0.625
449406,0.213
465284,-0.387
480467,-0.423
498114,-0.923
512029,-0.13
530757,0.479
549556,1.633
570421,-0.212
591383,-0.433
612640,-0.802
633999,-0.184
655174,0.306
676168,-0.829
697297,-0.05
718322,-0.237
739419,1.287
760596,-0.45
780913,0.255
800744,-0.23
818600,-0.148
835153,-0.356
849761,-0.456
861435,-0.239
870864,0.136
880291,-0.0356
