timestep,reward
2,-0.2385
3223,0.0555
6605,0.576
10902,1.342
15768,2.079
21002,2.329
26373,2.465
31865,2.79
37402,2.6495
42965,2.604
48674,2.698
54262,2.6035
59788,2.7355
65353,2.531
70866,2.734
76493,2.726
81987,2.786
87401,2.4585
92964,2.847
98660,2.688
104165,2.831
109569,2.756
115110,2.9535
120512,2.9785
126173,2.9005
132000,3.0485
137517,2.83
142958,2.958
148456,2.5625
154069,2.923
159707,2.7815
165191,2.7475
170659,2.799
176276,2.877
182015,2.8635
187476,2.9725
193080,2.785
198843,2.7935
204274,2.626
209589,3.0545
215193,2.6645
220727,2.7115
226222,2.596
231634,2.809
237065,2.726
242692,3.015
248223,2.7195
253808,2.7415
259381,2.676
264826,2.831
270367,2.83675
