timestep,reward
2,0.038
2054,0.0635
4199,0.1715
6567,0.266
9123,0.096
12160,0.3255
15186,0.028
18577,0.053
22061,0.323
25206,-0.045
28796,0.35
32035,0.1715
35425,0.258
38446,0.4085
41457,0.3225
44562,0.3755
47484,0.4765
50391,0.365
53398,0.4475
56507,0.2005
59429,0.568
62162,0.357
65064,0.562
68030,0.398
71013,0.476
73831,0.534
76540,0.412
79316,0.513
82087,0.4155
84825,0.459
87665,0.4495
90382,0.602
93284,0.545
96158,0.463
98879,0.5235
101545,0.3515
104494,0.478
107200,0.3925
110026,0.337
112885,0.5195
115628,0.4325
118351,0.6415
121144,0.374
123917,0.503
126776,0.475
129685,0.4365
132448,0.477
135229,0.5385
138012,0.48
140755,0.406
143426,0.5132
