timestep,reward
10,-1.675
4881,-1.672
11847,-1.1315
21317,-0.283
32355,-0.299
43191,0.0335
54422,0.09
65428,-0.8415
76240,-0.0335
86897,-0.6925
97406,0.035
108113,-0.4095
118895,0.302
129322,-0.032
139618,-0.109
150048,-0.123
160603,0.291
171157,0.268
181425,0.221
191306,-0.107
201031,0.143
210710,-0.01
220215,0.084
229718,0.253
239251,-0.141
248670,0.261
258062,0.055
267494,-0.103
277127,-0.105
286877,-0.378
296599,-0.08
306453,0.238
316359,0.491
326265,-0.014
336182,-0.14
346086,-0.247
355942,-0.073
365823,0.083
375672,-0.216
385527,-0.01
395371,-0.02
405186,0.347
415014,-0.105
424843,0.089
434708,-0.143
444553,-0.11
454390,-0.212
464239,-0.286
474091,-0.21
483946,0.145
493771,-0.0293
