timestep,reward
1,-2.7745
5647,-2.729
11091,-2.8465
16730,-2.922
22244,-2.8315
27881,-2.9225
33342,-2.8985
38886,-2.8165
44444,-2.9865
50081,-2.906
55456,-3.0455
61102,-2.864
66610,-2.8625
72091,-2.9725
77820,-3.004
83416,-3.0065
89012,-2.8725
94762,-2.748
100207,-3.0075
105878,-2.6645
111226,-2.6515
116817,-3.201
122470,-3.298
128388,-2.8715
133875,-3.04
139455,-2.614
144948,-3.2215
150713,-3.0055
156482,-2.867
161991,-3.126
167575,-2.797
173257,-2.5255
178861,-3.0685
184549,-2.9965
190183,-2.729
195489,-2.7445
201146,-2.911
206877,-2.9395
212553,-2.9145
218191,-2.9825
223789,-2.941
229379,-2.613
234997,-2.6595
240376,-2.78
245911,-2.833
251397,-3.082
256996,-2.777
262459,-2.9605
268119,-2.758
273766,-2.9765
279293,-2.9695
