timestep,reward
1,0.136
2158,0.0605
4328,0.0695
6536,0.182
8606,0.0635
10817,0.177
12825,0.0415
14960,-0.0115
17272,0.147
19395,-0.0105
21650,0.0975
23822,-0.008
26013,0.111
28058,0.047
30145,0.047
32351,0.1335
34477,0.1435
36605,0.104
38688,-0.014
40889,0.1115
43004,0.1005
45036,0.007
47131,0.0525
49266,-0.0625
51494,0.077
53585,0.066
55728,0.0835
57746,0.1105
59849,0.048
61968,0.102
64053,0.1445
66147,-0.037
68216,0.0665
70391,0.1425
72519,0.1565
74569,0.011
76756,0.11
78878,0.039
80966,0.0545
83081,0.1055
85168,0.0965
87189,0.1285
89241,-0.024
91438,0.068
93596,-0.0125
95831,0.1335
97923,-0.011
100097,0.137
102155,-0.017
104331,0.045
106382,0.06655
