timestep,reward
1,-0.213
3967,-0.341
8086,-0.508
11949,-0.5165
15676,-0.169
19434,-0.6515
23241,-0.4105
27189,-0.5755
31160,-0.23
35249,-0.2865
39223,-0.413
43183,-0.2445
47299,-0.2545
51093,-0.164
55281,-0.3155
59374,-0.138
63435,0.018
67513,-0.373
71444,-0.1345
75239,0.014
78930,-0.391
83031,-0.259
86819,-0.195
90766,-0.0745
94847,-0.233
99068,-0.1535
102739,-0.6215
106739,-0.2605
110667,-0.059
114615,-0.063
118836,0.0095
122593,-0.102
126637,0.089
130623,-0.2395
134371,-0.3555
138316,-0.627
142255,-0.173
146314,-0.5095
149989,-0.0425
154174,-0.3
157922,-0.315
161705,-0.362
165805,-0.2715
170008,-0.589
173841,-0.592
178005,-0.2715
182176,0.007
186354,-0.5715
190059,-0.3595
194106,-0.1305
197961,-0.34965
