timestep,reward
9,0.252
9361,0.042
18696,-0.154
28067,0.182
37429,-0.217
46752,0.028
56121,-0.014
65471,-0.728
74840,-0.07
84204,-0.588
93544,0.049
102865,-0.35
112218,0.322
121553,-0.077
130911,-0.119
140247,-0.077
149598,0.273
158944,0.245
168301,0.203
177667,-0.119
187021,0.14
196356,-0.021
205693,0.098
215026,0.231
224405,-0.14
233765,0.266
243126,0.056
252464,-0.091
261852,-0.112
271192,-0.364
280571,-0.063
289915,0.231
299280,0.448
308615,-0.056
317953,-0.105
327284,-0.231
336638,-0.049
345974,0.084
355328,-0.217
364692,-0.014
374031,-0.021
383393,0.371
392737,-0.126
402071,0.091
411425,-0.147
420783,-0.112
430101,-0.21
439465,-0.294
448823,-0.21
458188,0.133
467509,-0.0343
