timestep,reward
6,1.8065
5354,1.8115
10697,1.753
16076,1.795
21399,1.8265
26751,1.6295
31973,1.7225
37451,1.4905
42986,1.839
48312,1.6615
53639,1.721
58969,1.6845
64568,1.7415
69790,1.9445
75214,1.6475
80487,1.5275
85751,1.8815
91078,1.866
96370,1.793
101442,1.73
106662,1.418
112101,1.821
117477,1.68
122627,1.871
128062,1.5965
133401,1.79
138631,1.7075
144146,1.5135
149389,1.667
154735,1.7505
160162,1.8285
165407,1.755
170667,1.8905
176075,1.6835
181489,1.7765
186788,1.6675
191968,1.9305
197271,1.6735
202639,1.702
208096,1.887
213449,1.7675
218652,1.7375
223903,1.634
229316,1.724
234691,1.816
239950,1.925
245248,1.7375
250645,1.6065
255859,1.643
261214,1.78
266568,1.7325
